epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5836,2.01477,31.0969,1.3349,0.02137,0.17752,0.05507,0.02366,2.15159,35.3669,1.33714,0.00053344,0.00053344,0.00053344
2,46.3521,2.22829,21.4332,1.35069,0.3079,0.05507,0.06091,0.02185,2.31564,29.8186,1.40685,0.0010814,0.0010814,0.0010814
3,68.6702,2.12676,20.8033,1.4673,0.29353,0.14739,0.14541,0.05368,2.34162,23.5,1.41089,0.00162719,0.00162719,0.00162719
4,83.9941,2.39265,20.9227,1.52522,0.28082,0.33006,0.21447,0.0726,2.32059,25.8373,1.47456,0.0016571,0.0016571,0.0016571
5,100.138,2.26523,18.0754,1.37979,0.32492,0.27362,0.21721,0.07898,2.22935,28.2358,1.39983,0.0016538,0.0016538,0.0016538
6,113.14,2.1914,17.3392,1.36795,0.40145,0.38111,0.32812,0.11704,2.20322,22.0327,1.36639,0.0016505,0.0016505,0.0016505
7,125.629,2.05042,17.1676,1.3897,0.41979,0.31759,0.30338,0.10671,2.27806,23.5022,1.41141,0.0016472,0.0016472,0.0016472
8,138.961,2.08091,15.6129,1.39681,0.52975,0.42101,0.42229,0.1573,2.08884,14.7274,1.34974,0.0016439,0.0016439,0.0016439
9,154.018,2.11594,15.8055,1.38387,0.43476,0.42101,0.37541,0.12916,2.25963,15.6395,1.4155,0.00164059,0.00164059,0.00164059
10,171.103,1.8873,14.8356,1.3699,0.47001,0.40472,0.39789,0.16102,2.10756,14.674,1.32573,0.00163729,0.00163729,0.00163729
11,182.865,2.00061,14.8495,1.30145,0.45629,0.41775,0.38765,0.14872,2.09111,15.2045,1.29245,0.00163399,0.00163399,0.00163399
12,196.843,1.90799,14.9009,1.33314,0.47413,0.43811,0.41373,0.1628,2.12162,13.533,1.32373,0.00163069,0.00163069,0.00163069
13,210.044,1.91125,13.9411,1.31033,0.52291,0.38737,0.3905,0.1546,2.06636,23.8145,1.2792,0.00162739,0.00162739,0.00162739
14,221.997,1.92447,13.6179,1.30786,0.50479,0.40228,0.39562,0.14643,2.19586,13.6999,1.36074,0.00162409,0.00162409,0.00162409
15,233.413,1.87856,13.9909,1.34082,0.52224,0.43322,0.44062,0.16479,2.05999,13.4066,1.28833,0.00162079,0.00162079,0.00162079
16,244.503,1.79253,13.2035,1.2756,0.53688,0.44218,0.44819,0.1741,2.02851,12.8347,1.28563,0.00161749,0.00161749,0.00161749
17,255.568,1.78717,12.6409,1.26694,0.58691,0.45684,0.48132,0.18682,2.00144,12.0173,1.28902,0.00161419,0.00161419,0.00161419
18,268.765,1.88728,12.7191,1.26518,0.50743,0.45553,0.45768,0.18237,1.97665,12.1892,1.27263,0.00161089,0.00161089,0.00161089
19,280.404,1.86739,12.1478,1.22239,0.5238,0.47313,0.46792,0.18438,1.96797,12.1649,1.25729,0.00160759,0.00160759,0.00160759
20,292.291,1.82168,12.6516,1.29049,0.51744,0.45847,0.44491,0.17222,2.04051,12.5766,1.27709,0.00160429,0.00160429,0.00160429
21,306.215,1.8459,12.1884,1.25201,0.55858,0.39332,0.42704,0.17152,2.01764,12.4874,1.26755,0.00160099,0.00160099,0.00160099
22,318.052,1.8317,11.9227,1.2256,0.57498,0.40982,0.45259,0.17886,2.01759,12.1181,1.28499,0.00159769,0.00159769,0.00159769
23,332.184,1.77006,11.3663,1.25087,0.54869,0.49798,0.50047,0.20138,1.94307,11.3343,1.25205,0.00159439,0.00159439,0.00159439
24,344.613,1.70687,21.2116,1.19615,0.62221,0.45603,0.5095,0.20412,1.9255,11.7062,1.25181,0.00159108,0.00159108,0.00159108
25,357.206,1.70642,11.0851,1.2491,0.60492,0.46906,0.52299,0.21409,1.92794,10.9934,1.24537,0.00158778,0.00158778,0.00158778
26,369.955,1.75101,11.4349,1.24209,0.61502,0.45765,0.51263,0.20627,1.93134,10.8961,1.24478,0.00158448,0.00158448,0.00158448
27,382.322,1.74062,11.3034,1.25284,0.60928,0.42264,0.47686,0.18691,1.95693,12.7816,1.2318,0.00158118,0.00158118,0.00158118
28,409.113,1.76016,10.7699,1.1859,0.60694,0.4577,0.51705,0.21343,1.91145,11.231,1.21613,0.00157788,0.00157788,0.00157788
29,421.188,1.71087,11.01,1.23103,0.62996,0.4943,0.53414,0.22169,1.89069,10.8059,1.23841,0.00157458,0.00157458,0.00157458
30,442.013,1.72073,10.6171,1.19288,0.58567,0.46906,0.49724,0.19977,1.94869,11.4655,1.25065,0.00157128,0.00157128,0.00157128
31,454.225,1.70918,10.6491,1.20509,0.5735,0.4621,0.49591,0.20914,1.8843,11.2628,1.2032,0.00156798,0.00156798,0.00156798
32,468.323,1.75582,10.9371,1.21238,0.48922,0.34853,0.36318,0.15092,2.07159,12.0993,1.30843,0.00156468,0.00156468,0.00156468
33,479.472,1.81792,10.8913,1.2228,0.50707,0.39251,0.41465,0.16427,2.08858,11.8605,1.32599,0.00156138,0.00156138,0.00156138
34,491.448,1.7977,11.2827,1.26596,0.60093,0.4772,0.51285,0.20713,1.92081,10.6405,1.23874,0.00155808,0.00155808,0.00155808
35,503.177,1.74499,11.1242,1.23959,0.55506,0.41287,0.4352,0.17087,2.05271,11.5866,1.28914,0.00155478,0.00155478,0.00155478
36,518.53,1.75525,10.3779,1.18217,0.59833,0.50489,0.53595,0.22943,1.86262,10.2438,1.20399,0.00155148,0.00155148,0.00155148
37,529.512,1.68832,10.0865,1.1792,0.58487,0.49919,0.51227,0.20612,1.93869,10.944,1.22757,0.00154818,0.00154818,0.00154818
38,550.134,1.76367,10.2817,1.20584,0.65311,0.47231,0.51987,0.22156,1.8703,10.986,1.20816,0.00154488,0.00154488,0.00154488
39,566.344,1.72619,10.2212,1.22129,0.54708,0.45928,0.4774,0.20079,1.91184,11.6194,1.21598,0.00154157,0.00154157,0.00154157
40,583.563,1.69634,9.6129,1.15804,0.62834,0.53013,0.56836,0.2389,1.84133,9.99163,1.20822,0.00153827,0.00153827,0.00153827
41,603.488,1.60696,9.49061,1.15326,0.63419,0.4913,0.53782,0.21962,1.87139,10.2882,1.2105,0.00153497,0.00153497,0.00153497
42,646.946,1.65062,9.65697,1.1876,0.62691,0.54642,0.55618,0.23417,1.86119,10.1959,1.20686,0.00153167,0.00153167,0.00153167
43,669.928,1.64513,9.53298,1.18194,0.63305,0.5057,0.54407,0.22923,1.88597,10.1018,1.23559,0.00152837,0.00152837,0.00152837
44,686.804,1.61694,9.47201,1.19869,0.65072,0.48046,0.54159,0.22937,1.91974,10.2311,1.23427,0.00152507,0.00152507,0.00152507
45,700.987,1.62051,9.45261,1.18757,0.59213,0.48371,0.52242,0.22538,1.90072,10.2058,1.22203,0.00152177,0.00152177,0.00152177
46,712.446,1.68964,9.93215,1.20375,0.64062,0.53854,0.57226,0.23868,1.86947,10.1822,1.22003,0.00151847,0.00151847,0.00151847
47,723.393,1.59963,9.39611,1.21141,0.6381,0.49593,0.53613,0.2196,1.88684,10.2442,1.22074,0.00151517,0.00151517,0.00151517
48,745.311,1.64326,9.50279,1.17217,0.62179,0.49674,0.5407,0.22438,1.88606,10.1372,1.2322,0.00151187,0.00151187,0.00151187
49,773.792,1.67884,9.63451,1.17248,0.62238,0.49837,0.54686,0.23143,1.8525,10.2594,1.20568,0.00150857,0.00150857,0.00150857
50,785.722,1.68536,9.48449,1.17736,0.58315,0.41694,0.45819,0.18454,2.02608,10.7994,1.26586,0.00150527,0.00150527,0.00150527
51,797.751,1.69115,9.47045,1.16099,0.6376,0.53583,0.56138,0.23389,1.8775,10.41,1.21934,0.00150197,0.00150197,0.00150197
52,809.591,1.62023,9.45802,1.17974,0.54911,0.39967,0.43581,0.17752,2.07204,10.7366,1.29854,0.00149867,0.00149867,0.00149867
53,821.883,1.67626,9.5282,1.17879,0.62482,0.5114,0.55565,0.22917,1.86644,9.78502,1.20048,0.00149537,0.00149537,0.00149537
54,833.712,1.57264,9.00634,1.15337,0.64713,0.48534,0.54263,0.21605,1.90989,10.0644,1.2221,0.00149207,0.00149207,0.00149207
55,844.826,1.65514,9.18208,1.14234,0.65381,0.50081,0.56396,0.24557,1.86546,9.80808,1.21062,0.00148876,0.00148876,0.00148876
56,856.168,1.64459,9.20472,1.15221,0.59628,0.50326,0.55249,0.22924,1.88439,9.95771,1.21825,0.00148546,0.00148546,0.00148546
57,867.995,1.5707,8.94303,1.13586,0.63893,0.51155,0.56548,0.2415,1.82273,10.3813,1.18963,0.00148216,0.00148216,0.00148216
58,879.639,1.59056,8.95099,1.129,0.6363,0.52769,0.56641,0.23899,1.87207,9.70712,1.22201,0.00147886,0.00147886,0.00147886
59,895.386,1.58045,9.3935,1.20817,0.66326,0.50363,0.56658,0.24781,1.84258,9.62376,1.19198,0.00147556,0.00147556,0.00147556
60,919.392,1.66946,9.38519,1.14613,0.63874,0.48616,0.54266,0.23468,1.87891,10.7081,1.21724,0.00147226,0.00147226,0.00147226
61,932.151,1.63021,8.89743,1.14994,0.63136,0.4943,0.5456,0.23334,1.88889,10.0265,1.22373,0.00146896,0.00146896,0.00146896
62,957.749,1.58159,8.79487,1.14672,0.63904,0.51059,0.57088,0.24155,1.87731,10.0588,1.22491,0.00146566,0.00146566,0.00146566
63,970.051,1.61923,8.85076,1.12583,0.65464,0.50814,0.56978,0.24331,1.85092,9.86166,1.19453,0.00146236,0.00146236,0.00146236
64,981.457,1.63435,8.72702,1.11055,0.63493,0.54101,0.57711,0.2354,1.86989,10.0398,1.20908,0.00145906,0.00145906,0.00145906
65,993.307,1.64836,9.4314,1.17362,0.63986,0.52086,0.57142,0.2318,1.88947,10.0714,1.21898,0.00145576,0.00145576,0.00145576
66,1009.51,1.57093,9.1003,1.14923,0.62029,0.50244,0.55231,0.22908,1.88536,10.6724,1.21964,0.00145246,0.00145246,0.00145246
67,1021.61,1.6357,9.14613,1.15239,0.6113,0.49562,0.54432,0.22378,1.91725,10.1914,1.24797,0.00144916,0.00144916,0.00144916
68,1033.83,1.60094,8.62219,1.13787,0.63428,0.54967,0.58673,0.24902,1.83758,9.74216,1.20933,0.00144586,0.00144586,0.00144586
69,1045.94,1.60292,8.89833,1.15382,0.62997,0.54235,0.57431,0.24689,1.85863,10.0931,1.21437,0.00144256,0.00144256,0.00144256
70,1057.28,1.65352,10.4988,1.17329,0.61197,0.5513,0.57293,0.24663,1.86835,9.80904,1.21643,0.00143925,0.00143925,0.00143925
71,1068.72,1.59935,9.20868,1.15932,0.59762,0.50651,0.53758,0.2319,1.88491,10.0641,1.23266,0.00143595,0.00143595,0.00143595
72,1085.45,1.59456,8.96003,1.1423,0.62349,0.51547,0.55903,0.24002,1.86252,10.4716,1.2134,0.00143265,0.00143265,0.00143265
73,1097.55,1.60737,8.68886,1.12203,0.58927,0.49511,0.52326,0.21832,1.934,10.4687,1.23815,0.00142935,0.00142935,0.00142935
74,1109.19,1.56394,8.58688,1.14626,0.68804,0.53909,0.58872,0.2475,1.86395,9.69284,1.207,0.00142605,0.00142605,0.00142605
75,1121.21,1.57296,8.28607,1.09999,0.63855,0.53094,0.56738,0.24353,1.86765,9.63372,1.22205,0.00142275,0.00142275,0.00142275
76,1132.63,1.55923,8.48351,1.1359,0.68095,0.53339,0.5919,0.25551,1.81446,9.54846,1.20236,0.00141945,0.00141945,0.00141945
77,1144.71,1.50841,8.45917,1.14312,0.66476,0.52157,0.58161,0.25133,1.84753,9.52645,1.21571,0.00141615,0.00141615,0.00141615
78,1157.22,1.51096,8.14578,1.11522,0.66642,0.53523,0.58962,0.25215,1.84064,9.66561,1.21566,0.00141285,0.00141285,0.00141285
79,1179.45,1.52309,8.25622,1.1402,0.63802,0.56408,0.59769,0.25421,1.81931,9.40053,1.19851,0.00140955,0.00140955,0.00140955
80,1191.36,1.5216,8.15197,1.11731,0.65561,0.54072,0.58623,0.25719,1.80715,9.49364,1.1959,0.00140625,0.00140625,0.00140625
81,1210.19,1.50151,8.35829,1.11548,0.66736,0.53094,0.59671,0.25587,1.80997,9.6259,1.18103,0.00140295,0.00140295,0.00140295
82,1223.38,1.53794,8.61813,1.14559,0.6405,0.54397,0.59554,0.25383,1.78907,9.6096,1.15791,0.00139965,0.00139965,0.00139965
83,1236.01,1.54774,8.67991,1.13355,0.59966,0.50244,0.53744,0.23339,1.83684,9.82017,1.1835,0.00139635,0.00139635,0.00139635
84,1248.56,1.54795,8.07925,1.09782,0.66262,0.56107,0.6108,0.2679,1.77181,9.27488,1.1745,0.00139305,0.00139305,0.00139305
85,1260,1.60253,8.40054,1.12411,0.60839,0.53502,0.56942,0.251,1.81039,9.46441,1.18183,0.00138974,0.00138974,0.00138974
