epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5382,1.86969,22.5044,1.35599,0.43478,0.36401,0.34629,0.14058,1.99989,19.7948,1.31572,0.000545377,0.000545377,0.000545377
2,53.0567,1.69098,15.0043,1.29559,0.48464,0.45033,0.4244,0.17505,1.92585,19.0238,1.26599,0.00109886,0.00109886,0.00109886
3,70.2574,1.83469,14.1117,1.33282,0.34581,0.35993,0.29861,0.12851,1.97225,20.9955,1.33545,0.00165015,0.00165015,0.00165015
4,87.6884,1.79973,15.1064,1.32132,0.44329,0.307,0.27288,0.10403,2.1048,36.2678,1.37159,0.0016571,0.0016571,0.0016571
5,108.839,1.77962,14.3544,1.36125,0.51458,0.3971,0.39447,0.14746,2.0247,17.2435,1.38393,0.0016538,0.0016538,0.0016538
6,125.378,1.96474,15.2396,1.4545,0.27105,0.40391,0.18566,0.06901,2.12075,20.8268,1.48761,0.0016505,0.0016505,0.0016505
7,142.906,1.84954,12.754,1.40785,0.32858,0.39251,0.2004,0.07152,2.11585,23.4255,1.50311,0.0016472,0.0016472,0.0016472
8,175.704,1.88361,12.9428,1.35982,0.49583,0.39332,0.36769,0.1422,2.18351,17.1541,1.4727,0.0016439,0.0016439,0.0016439
9,193.346,1.83245,11.6854,1.36181,0.37452,0.36238,0.25177,0.09222,2.15218,15.8203,1.43459,0.00164059,0.00164059,0.00164059
10,210.154,1.83552,11.9386,1.34455,0.47323,0.39658,0.37373,0.13775,2.19604,16.2249,1.37917,0.00163729,0.00163729,0.00163729
11,227.165,1.85158,12.9859,1.39621,0.57033,0.39902,0.40698,0.16002,2.03595,13.5089,1.36655,0.00163399,0.00163399,0.00163399
12,258.232,1.77638,11.4675,1.37111,0.37921,0.47476,0.30722,0.11192,1.96031,14.3254,1.33408,0.00163069,0.00163069,0.00163069
13,276.847,1.68828,11.166,1.31148,0.5434,0.44137,0.45375,0.18985,1.89471,11.8933,1.29863,0.00162739,0.00162739,0.00162739
14,294.896,1.77825,11.3543,1.35094,0.61315,0.45046,0.49513,0.19653,1.93804,12.3502,1.34025,0.00162409,0.00162409,0.00162409
15,311.472,1.81376,12.224,1.39012,0.51106,0.37541,0.38301,0.15182,2.11463,14.5929,1.39835,0.00162079,0.00162079,0.00162079
16,328.691,1.79869,12.5475,1.29727,0.52526,0.41612,0.42623,0.16504,2.06491,14.6399,1.35604,0.00161749,0.00161749,0.00161749
17,346.75,1.69359,11.0542,1.30419,0.60634,0.43567,0.47557,0.19841,1.97096,12.0886,1.31022,0.00161419,0.00161419,0.00161419
18,365.299,1.72641,11.1378,1.30042,0.57082,0.48616,0.48594,0.20384,1.92243,11.8835,1.27962,0.00161089,0.00161089,0.00161089
19,383.977,1.66631,10.5289,1.30058,0.52869,0.4677,0.47062,0.1869,2.01741,14.0385,1.33788,0.00160759,0.00160759,0.00160759
20,401.835,1.75499,10.8289,1.3004,0.59257,0.48208,0.49866,0.21049,1.91382,11.6578,1.27573,0.00160429,0.00160429,0.00160429
21,418.694,1.6835,10.0186,1.24544,0.55104,0.47277,0.48941,0.20738,1.90456,11.3232,1.27303,0.00160099,0.00160099,0.00160099
22,436.127,1.6172,9.62738,1.26187,0.61255,0.50977,0.53614,0.21976,1.88126,10.6183,1.27007,0.00159769,0.00159769,0.00159769
23,453.165,1.6015,9.53561,1.24811,0.5979,0.50371,0.53899,0.22088,1.91138,10.8264,1.31927,0.00159439,0.00159439,0.00159439
24,470.678,1.54931,8.86937,1.22429,0.65041,0.44087,0.49581,0.21274,1.90582,11.1121,1.29285,0.00159108,0.00159108,0.00159108
25,487.664,1.5724,9.12428,1.23372,0.62926,0.49621,0.55066,0.2327,1.84622,10.7229,1.25952,0.00158778,0.00158778,0.00158778
26,506.074,1.60712,9.19038,1.19873,0.63337,0.48453,0.5372,0.22944,1.86968,10.5984,1.25585,0.00158448,0.00158448,0.00158448
27,524.067,1.56875,9.32219,1.26596,0.59497,0.48566,0.53035,0.2228,1.93057,10.7714,1.34666,0.00158118,0.00158118,0.00158118
28,543.135,1.69689,10.3188,1.35273,0.63498,0.48589,0.5438,0.23014,1.92292,11.385,1.30626,0.00157788,0.00157788,0.00157788
29,563.014,1.63783,9.7117,1.26819,0.65269,0.32736,0.36599,0.14307,2.1167,12.7747,1.38005,0.00157458,0.00157458,0.00157458
30,580.553,1.69193,9.88783,1.30522,0.64608,0.4145,0.47953,0.20402,1.902,11.1811,1.27968,0.00157128,0.00157128,0.00157128
31,599.163,1.61874,9.62521,1.26319,0.62744,0.44983,0.51095,0.22412,1.84599,10.9567,1.28554,0.00156798,0.00156798,0.00156798
32,619.681,1.64187,9.51778,1.26573,0.61396,0.4601,0.51171,0.21044,1.97269,11.6654,1.35916,0.00156468,0.00156468,0.00156468
33,637.432,1.58967,9.33228,1.25599,0.60589,0.50163,0.5339,0.23548,1.8072,10.9591,1.25426,0.00156138,0.00156138,0.00156138
34,654.307,1.53916,8.53797,1.20312,0.58554,0.54072,0.55167,0.2323,1.83284,11.5411,1.24523,0.00155808,0.00155808,0.00155808
35,674.792,1.5683,9.51164,1.23027,0.56192,0.5,0.49621,0.20153,1.96446,12.8798,1.31033,0.00155478,0.00155478,0.00155478
